"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M7G Extra Large","m7g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1166 hourly","$0.0770 hourly","$0.0516 hourly","unavailable","unavailable"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1208 hourly","$0.0761 hourly","$0.0495 hourly","unavailable","unavailable"
"M5 General Purpose Large","m5d.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1220 hourly","$0.0770 hourly","$0.0398 hourly","$0.2140 hourly","$0.1690 hourly"
"M6ID Large","m6id.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1281 hourly","$0.0807 hourly","$0.0406 hourly","$0.2201 hourly","$0.1727 hourly"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1300 hourly","$0.0854 hourly","$0.0495 hourly","$0.2220 hourly","$0.1774 hourly"
"R5 Large","r5.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1300 hourly","$0.0810 hourly","$0.0738 hourly","$0.2220 hourly","$0.1730 hourly"
"R6G Extra Large","r6g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1300 hourly","$0.0819 hourly","$0.0468 hourly","unavailable","unavailable"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.1340 hourly","$0.0850 hourly","$0.0540 hourly","$0.3180 hourly","$0.2690 hourly"
"R7I Large","r7i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1365 hourly","$0.0897 hourly","$0.0441 hourly","$0.2285 hourly","$0.1817 hourly"
"R4 High-Memory Large","r4.large","15.25 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1370 hourly","$0.0861 hourly","$0.0444 hourly","$0.2290 hourly","$0.1781 hourly"
"M7GD Extra Large","m7gd.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1420 hourly","$0.0895 hourly","$0.0429 hourly","unavailable","unavailable"
"R5A Extra Large","r5a.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1430 hourly","$0.0900 hourly","$0.0671 hourly","$0.3270 hourly","$0.2740 hourly"
"R6A Extra Large","r6a.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1430 hourly","$0.0940 hourly","$0.0805 hourly","$0.3270 hourly","$0.2780 hourly"
"R6GD Extra Large","r6gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.1495 hourly","$0.0942 hourly","$0.0609 hourly","unavailable","unavailable"
"R7G Extra Large","r7g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1502 hourly","$0.0987 hourly","$0.0515 hourly","unavailable","unavailable"
"R5D Large","r5d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1510 hourly","$0.0950 hourly","$0.0507 hourly","$0.2430 hourly","$0.1870 hourly"
"R5N Large","r5n.large","16.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1530 hourly","$0.0960 hourly","$0.0503 hourly","$0.2450 hourly","$0.1880 hourly"
"R6ID Large","r6id.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1586 hourly","$0.0999 hourly","$0.0480 hourly","$0.2506 hourly","$0.1919 hourly"
"IS4GEN Medium","is4gen.medium","6.0 GiB","1 vCPUs","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.1638 hourly","$0.1118 hourly","unavailable","unavailable","unavailable"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.1660 hourly","$0.1050 hourly","$0.0813 hourly","$0.3500 hourly","$0.2890 hourly"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1700 hourly","$0.1070 hourly","$0.0823 hourly","$0.3540 hourly","$0.2910 hourly"
"C6I Extra Large","c6i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1700 hourly","$0.1126 hourly","$0.0703 hourly","$0.3540 hourly","$0.2966 hourly"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.1704 hourly","$0.1074 hourly","$0.0639 hourly","unavailable","unavailable"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.1730 hourly","$0.1092 hourly","$0.0541 hourly","unavailable","unavailable"
"R7GD Extra Large","r7gd.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1760 hourly","$0.1109 hourly","$0.0570 hourly","unavailable","unavailable"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","475 GB                 NVMe SSD","Up to 10 Gigabit","$0.1770 hourly","$0.1220 hourly","$0.0540 hourly","$0.2690 hourly","$0.2140 hourly"
"C7I Extra Large","c7i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1785 hourly","$0.1182 hourly","$0.0714 hourly","$0.3625 hourly","$0.3022 hourly"
"T3 Extra Large","t3.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1792 hourly","$0.1129 hourly","$0.0797 hourly","$0.2528 hourly","$0.1865 hourly"
"T4G Double Extra Large","t4g.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1792 hourly","$0.1133 hourly","$0.0737 hourly","unavailable","unavailable"
"C6A Double Extra Large","c6a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1870 hourly","$0.1238 hourly","$0.0821 hourly","$0.5550 hourly","$0.4918 hourly"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.1880 hourly","$0.1180 hourly","$0.0906 hourly","$0.5560 hourly","$0.4860 hourly"
"R3 High-Memory Large","r3.large","15.25 GiB","2 vCPUs","32 GB                 SSD","Moderate","$0.1900 hourly","$0.1450 hourly","$0.0615 hourly","$0.2820 hourly","$0.2370 hourly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","468 GB                 NVMe SSD","Up to 10 Gigabit","$0.1950 hourly","$0.1270 hourly","$0.0575 hourly","$0.2870 hourly","$0.2190 hourly"
"Z1D Large","z1d.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1960 hourly","$0.1230 hourly","$0.0640 hourly","$0.2880 hourly","$0.2150 hourly"
"C6GD Double Extra Large","c6gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.1960 hourly","$0.1235 hourly","$0.0692 hourly","unavailable","unavailable"
"C7G Double Extra Large","c7g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","$0.1963 hourly","$0.1300 hourly","$0.0763 hourly","unavailable","unavailable"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.1971 hourly","$0.1242 hourly","$0.0701 hourly","$0.3443 hourly","$0.2714 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","4 vCPUs","100 GB                 NVMe SSD","Up to 10 Gigabit","$0.1980 hourly","$0.1250 hourly","$0.0772 hourly","$0.3820 hourly","$0.3090 hourly"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs                                                         for a                   5h 24m                   burst","EBS only","Moderate","$0.1984 hourly","$0.1236 hourly","$0.0694 hourly","$0.2394 hourly","$0.1646 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","4 vCPUs","EBS only","High","$0.2000 hourly","$0.1360 hourly","$0.0782 hourly","$0.3840 hourly","$0.3200 hourly"
"M7I-FLEX Extra Large","m7i-flex.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2015 hourly","$0.1331 hourly","$0.0721 hourly","$0.3763 hourly","$0.3079 hourly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2020 hourly","$0.1334 hourly","$0.0669 hourly","$0.3860 hourly","$0.3174 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2020 hourly","$0.1270 hourly","$0.0735 hourly","$0.3860 hourly","$0.3110 hourly"
"M6G Double Extra Large","m6g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.2024 hourly","$0.1275 hourly","$0.0996 hourly","unavailable","unavailable"
"A1 Double Extra Large","a1.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.2040 hourly","$0.1285 hourly","$0.0620 hourly","unavailable","unavailable"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","EBS only","High","$0.2100 hourly","$0.1309 hourly","$0.0811 hourly","$0.3940 hourly","$0.3149 hourly"
"M7I Extra Large","m7i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2121 hourly","$0.1401 hourly","$0.0737 hourly","$0.3961 hourly","$0.3241 hourly"
"C5N Extra Large","c5n.xlarge","10.5 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2160 hourly","$0.1360 hourly","$0.0988 hourly","$0.4000 hourly","$0.3200 hourly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.2220 hourly","$0.1400 hourly","$0.1013 hourly","$0.5900 hourly","$0.5080 hourly"
"M6A Double Extra Large","m6a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2222 hourly","$0.1467 hourly","$0.1138 hourly","$0.5902 hourly","$0.5147 hourly"
"C6IN Extra Large","c6in.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","$0.2268 hourly","$0.1429 hourly","$0.0846 hourly","$0.4108 hourly","$0.3269 hourly"
"C7GD Double Extra Large","c7gd.2xlarge","16.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","$0.2304 hourly","$0.1452 hourly","$0.0837 hourly","unavailable","unavailable"
"M7G Double Extra Large","m7g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","$0.2333 hourly","$0.1541 hourly","$0.0973 hourly","unavailable","unavailable"
"INF1 Extra Large","inf1.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.2400 hourly","$0.1510 hourly","$0.0743 hourly","unavailable","unavailable"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.2416 hourly","$0.1522 hourly","$0.1112 hourly","unavailable","unavailable"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.2440 hourly","$0.1540 hourly","$0.0925 hourly","$0.4280 hourly","$0.3380 hourly"
"M6ID Extra Large","m6id.xlarge","16.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.2562 hourly","$0.1614 hourly","$0.0784 hourly","$0.4402 hourly","$0.3454 hourly"
"I3EN Large","i3en.large","16.0 GiB","2 vCPUs","1250 GB                 NVMe SSD","Up to 25 Gigabit","$0.2570 hourly","$0.1750 hourly","$0.0802 hourly","$0.3490 hourly","$0.2670 hourly"
"R5 Extra Large","r5.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2600 hourly","$0.1630 hourly","$0.1139 hourly","$0.4440 hourly","$0.3470 hourly"
"R6I Extra Large","r6i.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2600 hourly","$0.1709 hourly","$0.0883 hourly","$0.4440 hourly","$0.3549 hourly"
"R6G Double Extra Large","r6g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.2600 hourly","$0.1638 hourly","$0.1176 hourly","unavailable","unavailable"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.2680 hourly","$0.1690 hourly","$0.1632 hourly","$0.6360 hourly","$0.5370 hourly"
"R7I Extra Large","r7i.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2730 hourly","$0.1794 hourly","$0.0936 hourly","$0.4570 hourly","$0.3634 hourly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.2740 hourly","$0.1722 hourly","$0.0953 hourly","$0.4580 hourly","$0.3562 hourly"
"M7GD Double Extra Large","m7gd.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","$0.2840 hourly","$0.1789 hourly","$0.0973 hourly","unavailable","unavailable"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.2860 hourly","$0.1790 hourly","$0.1192 hourly","$0.6540 hourly","$0.5470 hourly"
"R6A Double Extra Large","r6a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.2860 hourly","$0.1880 hourly","$0.1285 hourly","$0.6540 hourly","$0.5560 hourly"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 10 Gigabit","$0.2990 hourly","$0.1883 hourly","$0.1205 hourly","unavailable","unavailable"
"R7G Double Extra Large","r7g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","$0.3003 hourly","$0.1974 hourly","$0.1181 hourly","unavailable","unavailable"
"R5D Extra Large","r5d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.3020 hourly","$0.1900 hourly","$0.1150 hourly","$0.4860 hourly","$0.3740 hourly"
"R5N Extra Large","r5n.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","$0.3060 hourly","$0.1930 hourly","$0.1042 hourly","$0.4900 hourly","$0.3770 hourly"
"R6ID Extra Large","r6id.xlarge","32.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.3172 hourly","$0.1998 hourly","$0.1053 hourly","$0.5012 hourly","$0.3838 hourly"
"IS4GEN Large","is4gen.large","12.0 GiB","2 vCPUs","1875 GB                 NVMe SSD","Up to 25 Gigabit","$0.3275 hourly","$0.2236 hourly","unavailable","unavailable","unavailable"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.3320 hourly","$0.2090 hourly","$0.2117 hourly","$0.7000 hourly","$0.5770 hourly"
"C6I Double Extra Large","c6i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3400 hourly","$0.2251 hourly","$0.1444 hourly","$0.7080 hourly","$0.5931 hourly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.3400 hourly","$0.2140 hourly","$0.1337 hourly","$0.7080 hourly","$0.5820 hourly"
"C6G Quadruple Extra Large","c6g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.3408 hourly","$0.2147 hourly","$0.1067 hourly","unavailable","unavailable"
"C6GN Double Extra Large","c6gn.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.3460 hourly","$0.2184 hourly","$0.1054 hourly","unavailable","unavailable"
"R7GD Double Extra Large","r7gd.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 15 Gigabit","$0.3520 hourly","$0.2218 hourly","$0.1233 hourly","unavailable","unavailable"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","4 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.3540 hourly","$0.2440 hourly","$0.1220 hourly","$0.5380 hourly","$0.4280 hourly"
"C7I Double Extra Large","c7i.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3570 hourly","$0.2364 hourly","$0.1628 hourly","$0.7250 hourly","$0.6044 hourly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.3584 hourly","$0.2257 hourly","$0.1268 hourly","$0.5056 hourly","$0.3729 hourly"
"C6A Quadruple Extra Large","c6a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.3740 hourly","$0.2476 hourly","$0.1476 hourly","$1.1100 hourly","$0.9836 hourly"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.3760 hourly","$0.2370 hourly","$0.1939 hourly","$1.1120 hourly","$0.9730 hourly"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","4 vCPUs","80 GB                 SSD","Moderate","$0.3790 hourly","$0.2880 hourly","$0.1287 hourly","$0.5630 hourly","$0.4720 hourly"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.3810 hourly","$0.2400 hourly","$0.1780 hourly","unavailable","unavailable"
"I4I Extra Large","i4i.xlarge","32.0 GiB","4 vCPUs","937 GB                 NVMe SSD","Up to 10 Gigabit","$0.3890 hourly","$0.2540 hourly","$0.1178 hourly","$0.5730 hourly","$0.4380 hourly"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","4 vCPUs","150 GB                 NVMe SSD","Up to 10 Gigabit","$0.3920 hourly","$0.2470 hourly","$0.1191 hourly","$0.5760 hourly","$0.4310 hourly"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.3920 hourly","$0.2470 hourly","$0.1188 hourly","unavailable","unavailable"
"C7G Quadruple Extra Large","c7g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","$0.3926 hourly","$0.2600 hourly","$0.1514 hourly","unavailable","unavailable"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","8 vCPUs","200 GB                 NVMe SSD","Up to 10 Gigabit","$0.3960 hourly","$0.2490 hourly","$0.2115 hourly","$0.7640 hourly","$0.6170 hourly"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   4h 4.8m                   burst","EBS only","Moderate","$0.3968 hourly","$0.2473 hourly","$0.1289 hourly","$0.4588 hourly","$0.3093 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","8 vCPUs","EBS only","High","$0.4000 hourly","$0.2710 hourly","$0.1812 hourly","$0.7680 hourly","$0.6390 hourly"
"M7I-FLEX Double Extra Large","m7i-flex.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4030 hourly","$0.2661 hourly","$0.1748 hourly","$0.7526 hourly","$0.6157 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.4040 hourly","$0.2550 hourly","$0.1444 hourly","$0.7720 hourly","$0.6230 hourly"
"M6I Double Extra Large","m6i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4040 hourly","$0.2668 hourly","$0.1689 hourly","$0.7720 hourly","$0.6348 hourly"
"M6G Quadruple Extra Large","m6g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.4048 hourly","$0.2550 hourly","$0.1673 hourly","unavailable","unavailable"
"A1 Metal","a1.metal","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.4080 hourly","$0.2570 hourly","$0.1298 hourly","unavailable","unavailable"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.4080 hourly","$0.2570 hourly","$0.1235 hourly","unavailable","unavailable"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","8 vCPUs","EBS only","High","$0.4200 hourly","$0.2617 hourly","$0.1818 hourly","$0.7880 hourly","$0.6297 hourly"
"M7I Double Extra Large","m7i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4242 hourly","$0.2802 hourly","$0.1562 hourly","$0.7922 hourly","$0.6482 hourly"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.4320 hourly","$0.2720 hourly","$0.2299 hourly","$0.8000 hourly","$0.6400 hourly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.4440 hourly","$0.2800 hourly","$0.1914 hourly","$1.1800 hourly","$1.0160 hourly"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.4444 hourly","$0.2935 hourly","$0.1890 hourly","$1.1804 hourly","$1.0295 hourly"
"C6IN Double Extra Large","c6in.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 40 Gigabit","$0.4536 hourly","$0.2858 hourly","$0.1719 hourly","$0.8216 hourly","$0.6538 hourly"
"C7GD Quadruple Extra Large","c7gd.4xlarge","32.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","$0.4608 hourly","$0.2903 hourly","$0.1454 hourly","unavailable","unavailable"
"M7G Quadruple Extra Large","m7g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","$0.4666 hourly","$0.3081 hourly","$0.1791 hourly","unavailable","unavailable"
"M6GD Quadruple Extra Large","m6gd.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.4832 hourly","$0.3044 hourly","$0.1610 hourly","unavailable","unavailable"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.4880 hourly","$0.3070 hourly","$0.1993 hourly","$0.8560 hourly","$0.6750 hourly"
"M6ID Double Extra Large","m6id.2xlarge","32.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.5124 hourly","$0.3228 hourly","$0.1917 hourly","$0.8804 hourly","$0.6908 hourly"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","4 vCPUs","2500 GB                 NVMe SSD","Up to 25 Gigabit","$0.5140 hourly","$0.3510 hourly","$0.1391 hourly","$0.6980 hourly","$0.5350 hourly"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5200 hourly","$0.3260 hourly","$0.2280 hourly","$0.8880 hourly","$0.6940 hourly"
"R6I Double Extra Large","r6i.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.5200 hourly","$0.3418 hourly","$0.2268 hourly","$0.8880 hourly","$0.7098 hourly"
"R6G Quadruple Extra Large","r6g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.5200 hourly","$0.3276 hourly","$0.2445 hourly","unavailable","unavailable"
"D3 Extra Large","d3.xlarge","32.0 GiB","4 vCPUs","5940 GB                 (3 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$0.5240 hourly","$0.3300 hourly","$0.1539 hourly","$0.7080 hourly","$0.5140 hourly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.5370 hourly","$0.3380 hourly","$0.2717 hourly","$1.2730 hourly","$1.0740 hourly"
"R7I Double Extra Large","r7i.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","$0.5460 hourly","$0.3589 hourly","$0.2248 hourly","$0.9140 hourly","$0.7269 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","$0.5480 hourly","$0.3445 hourly","$0.2148 hourly","$0.9160 hourly","$0.7125 hourly"
"M7GD Quadruple Extra Large","m7gd.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","$0.5680 hourly","$0.3578 hourly","$0.1784 hourly","unavailable","unavailable"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.5720 hourly","$0.3590 hourly","$0.2627 hourly","$1.3080 hourly","$1.0950 hourly"
"R6A Quadruple Extra Large","r6a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.5720 hourly","$0.3759 hourly","$0.2242 hourly","$1.3080 hourly","$1.1119 hourly"
"G4DN Extra Large","g4dn.xlarge","16.0 GiB","4 vCPUs","125 GB                 NVMe SSD","Up to 25 Gigabit","$0.5790 hourly","$0.3650 hourly","$0.1887 hourly","$0.7630 hourly","$0.5490 hourly"
"R6GD Quadruple Extra Large","r6gd.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 10 Gigabit","$0.5979 hourly","$0.3767 hourly","$0.2259 hourly","unavailable","unavailable"
"R7G Quadruple Extra Large","r7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","$0.6006 hourly","$0.3947 hourly","$0.2181 hourly","unavailable","unavailable"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.6040 hourly","$0.3810 hourly","$0.2235 hourly","$0.9720 hourly","$0.7490 hourly"
"R5N Double Extra Large","r5n.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","$0.6120 hourly","$0.3860 hourly","$0.2337 hourly","$0.9800 hourly","$0.7540 hourly"
"R6ID Double Extra Large","r6id.2xlarge","64.0 GiB","8 vCPUs","474 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.6344 hourly","$0.3997 hourly","$0.2069 hourly","$1.0024 hourly","$0.7677 hourly"
"IS4GEN Extra Large","is4gen.xlarge","24.0 GiB","4 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","$0.6550 hourly","$0.4473 hourly","unavailable","unavailable","unavailable"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.6640 hourly","$0.4190 hourly","$0.3140 hourly","$1.4000 hourly","$1.1550 hourly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.6800 hourly","$0.4280 hourly","$0.1969 hourly","$1.4160 hourly","$1.1640 hourly"
