"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","400 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P5 48xlarge","p5.48xlarge","2048.0 GiB","192 vCPUs","30400 GB                 (8 * 3800 GB NVMe SSD)","3200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
