"Name","API Name","Memory","Storage","vCPUs","Network Performance","PostgreSQL","PostgreSQL Reserved Cost","MySQL On Demand Cost","MySQL Reserved Cost","SQL Server Express On Demand Cost","SQL Server Express Reserved Cost","SQL Server Web On Demand Cost","SQL Server Web Reserved Cost","SQL Server Standard On Demand Cost","SQL Server Standard Reserved Cost","SQL Server Enterprise On Demand Cost","SQL Server Enterprise Reserved Cost","Aurora Postgres & MySQL On Demand Cost","Aurora Postgres & MySQL Reserved Cost","Aurora I/O Optimized On Demand Cost","MariaDB On Demand Cost","MariaDB Reserved Cost","Oracle Enterprise On Demand Cost","Oracle Enterprise Reserved Cost"
"M7G Eight Extra Large","db.m7g.8xlarge","128 GiB","0 GiB (EBS only)","32 vCPUs","15 Gigabit","$3.8320 hourly","$2.9507 hourly","$3.8320 hourly","$2.9505 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$3.8320 hourly","$2.9505 hourly","unavailable","unavailable"
"M5 Eight Extra Large","db.m5.8xlarge","128 GiB","0 GiB (EBS only)","32 vCPUs","10 Gigabit","$4.0480 hourly","$2.5920 hourly","$3.8600 hourly","$2.4704 hourly","unavailable","unavailable","unavailable","unavailable","$11.1120 hourly","$10.0028 hourly","$19.1440 hourly","$19.0645 hourly","unavailable","unavailable","unavailable","$3.8600 hourly","$2.4704 hourly","$3.8560 hourly","$2.3888 hourly"
"M6I Eight Extra Large","db.m6i.8xlarge","128 GiB","0 GiB (EBS only)","32 vCPUs","12.5 Gbps","$4.0480 hourly","$2.5920 hourly","$3.8560 hourly","$2.4704 hourly","unavailable","unavailable","unavailable","unavailable","$11.1120 hourly","$9.9280 hourly","$19.1440 hourly","$18.2240 hourly","unavailable","unavailable","unavailable","$3.8560 hourly","$2.4704 hourly","$3.8560 hourly","$2.7648 hourly"
"R6G Eight Extra Large","db.r6g.8xlarge","256 GiB","0 GiB (EBS only)","32 vCPUs","10 Gigabit","$4.1000 hourly","$2.7983 hourly","$3.8660 hourly","$2.6349 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$4.7260 hourly","$3.1074 hourly","$6.1440 hourly","$3.8660 hourly","$2.6349 hourly","unavailable","unavailable"
"M6GD Eight Extra Large","db.m6gd.8xlarge","128 GiB","1 x 1900 NVMe SSD","32 vCPUs","10 Gigabit","$4.3160 hourly","$3.3236 hourly","$4.3160 hourly","$3.3236 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$4.3160 hourly","unavailable","unavailable","unavailable"
"R7G Eight Extra Large","db.r7g.8xlarge","256 GiB","0 GiB (EBS only)","32 vCPUs","15 Gigabit","$4.3520 hourly","$3.3510 hourly","$4.3520 hourly","$3.3510 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$4.3520 hourly","$3.3510 hourly","unavailable","unavailable"
"R3 Memory Optimized Eight Extra Large","db.r3.8xlarge","244 GiB","2 x 320 SSD","32 vCPUs","10 Gigabit","$4.5350 hourly","unavailable","$4.3120 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$4.3120 hourly","unavailable","unavailable","unavailable"
"R6I Eight Extra Large","db.r6i.8xlarge","256 GiB","0 GiB (EBS only)","32 vCPUs","12.5 Gbps","$4.5600 hourly","$3.1120 hourly","$4.3200 hourly","$2.9440 hourly","unavailable","unavailable","unavailable","unavailable","$11.4880 hourly","$10.8562 hourly","$20.4640 hourly","$20.4128 hourly","$5.2800 hourly","$3.4720 hourly","$6.8640 hourly","$4.3200 hourly","$2.9440 hourly","$4.2080 hourly","$3.0413 hourly"
"R5 Eight Extra Large","db.r5.8xlarge","256 GiB","0 GiB (EBS only)","32 vCPUs","10 Gigabit","$4.5600 hourly","$3.2760 hourly","$4.3200 hourly","$2.9440 hourly","unavailable","unavailable","unavailable","unavailable","$11.4880 hourly","$10.8562 hourly","$20.4640 hourly","$20.4128 hourly","$5.2800 hourly","$3.4740 hourly","$6.8640 hourly","$4.3200 hourly","$2.9440 hourly","$4.2080 hourly","$2.8720 hourly"
"R4 Memory Optimized Eight Extra Large","db.r4.8xlarge","244 GiB","0 GiB (EBS only)","32 vCPUs","10 Gigabit","$4.5600 hourly","unavailable","$4.3200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","$11.4880 hourly","unavailable","$20.4640 hourly","unavailable","$5.2800 hourly","unavailable","unavailable","$4.3200 hourly","unavailable","$4.3200 hourly","unavailable"
"R6GD Eight Extra Large","db.r6gd.8xlarge","256 GiB","1 x 1900 NVMe SSD","32 vCPUs","10 Gigabit","$4.7070 hourly","$3.6246 hourly","$4.7070 hourly","$3.6246 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$5.6640 hourly","$4.3613 hourly","$7.3630 hourly","$4.7070 hourly","unavailable","unavailable","unavailable"
"M5D Eight Extra Large","db.m5d.8xlarge","128 GiB","2 x 600 NVMe SSD","32 vCPUs","10 Gbps","$4.8900 hourly","$3.7650 hourly","$4.8900 hourly","$3.7650 hourly","unavailable","unavailable","unavailable","unavailable","$10.5330 hourly","$8.2946 hourly","$19.2800 hourly","$18.7016 hourly","unavailable","unavailable","unavailable","$4.8900 hourly","unavailable","$4.5390 hourly","$3.2717 hourly"
"M4 General Purpose Deca Extra Large","db.m4.10xlarge","160 GiB","0 GiB (EBS only)","40 vCPUs","10 Gigabit","$5.1510 hourly","unavailable","$4.9370 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","$13.8900 hourly","unavailable","$23.9320 hourly","unavailable","unavailable","unavailable","unavailable","$4.9370 hourly","unavailable","$4.9370 hourly","unavailable"
"R5D Eight Extra Large","db.r5d.8xlarge","256 GiB","2 x 600 NVMe SSD","32 vCPUs","10 Gbps","$5.2970 hourly","$4.0784 hourly","$5.2970 hourly","$4.0784 hourly","unavailable","unavailable","unavailable","unavailable","$12.7510 hourly","$12.0499 hourly","$20.6540 hourly","$20.6028 hourly","unavailable","unavailable","unavailable","$5.2970 hourly","unavailable","$4.8100 hourly","$3.4560 hourly"
"M6G 12xlarge","db.m6g.12xlarge","192 GiB","0 GiB (EBS only)","48 vCPUs","12 gigabit","$5.4240 hourly","$3.4730 hourly","$5.1410 hourly","$3.2939 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$5.1410 hourly","$3.2939 hourly","unavailable","unavailable"
"M7G 12xlarge","db.m7g.12xlarge","192 GiB","0 GiB (EBS only)","48 vCPUs","20 Gigabit","$5.7480 hourly","$4.4260 hourly","$5.7480 hourly","$4.4258 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$5.7480 hourly","$4.4258 hourly","unavailable","unavailable"
"M6I 12xlarge","db.m6i.12xlarge","192 GiB","0 GiB (EBS only)","48 vCPUs","18.75 Gbps","$6.0720 hourly","$3.8880 hourly","$5.7840 hourly","$3.7056 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$28.7160 hourly","$27.3360 hourly","unavailable","unavailable","unavailable","$5.7840 hourly","$3.7056 hourly","$5.7840 hourly","$4.1472 hourly"
"M5 12xlarge","db.m5.12xlarge","192 GiB","0 GiB (EBS only)","48 vCPUs","10 Gigabit","$6.0720 hourly","$3.8891 hourly","$5.7840 hourly","$3.7047 hourly","unavailable","unavailable","unavailable","unavailable","$16.6680 hourly","$14.8920 hourly","$28.7160 hourly","$27.3360 hourly","unavailable","unavailable","unavailable","$5.7840 hourly","$3.7047 hourly","$5.7840 hourly","$3.6057 hourly"
"R6G 12xlarge","db.r6g.12xlarge","384 GiB","0 GiB (EBS only)","48 vCPUs","20 Gigabit","$6.1510 hourly","$4.1975 hourly","$5.8000 hourly","$3.9523 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$7.0880 hourly","$4.6612 hourly","$9.2140 hourly","$5.8000 hourly","$3.9523 hourly","unavailable","unavailable"
"M6GD 12xlarge","db.m6gd.12xlarge","192 GiB","2 x 1425 NVMe SSD","48 vCPUs","12 gigabit","$6.4740 hourly","$4.9854 hourly","$6.4740 hourly","$4.9854 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$6.4740 hourly","unavailable","unavailable","unavailable"
"R7G 12xlarge","db.r7g.12xlarge","384 GiB","0 GiB (EBS only)","48 vCPUs","22.5 Gigabit","$6.5280 hourly","$5.0266 hourly","$6.5280 hourly","$5.0266 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$6.5280 hourly","$5.0266 hourly","unavailable","unavailable"
"R6I 12xlarge","db.r6i.12xlarge","384 GiB","0 GiB (EBS only)","48 vCPUs","18.75 Gbps","$6.8400 hourly","$4.6680 hourly","$6.4800 hourly","$4.4160 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$30.6960 hourly","$30.6193 hourly","$7.9200 hourly","$5.2080 hourly","$10.2960 hourly","$6.4800 hourly","$4.4160 hourly","$6.3120 hourly","$4.5619 hourly"
"R5 12xlarge","db.r5.12xlarge","384 GiB","0 GiB (EBS only)","48 vCPUs","10 Gigabit","$6.8400 hourly","$4.6683 hourly","$6.4800 hourly","$4.4160 hourly","unavailable","unavailable","unavailable","unavailable","$30.6960 hourly","$29.0077 hourly","$30.6960 hourly","$30.6193 hourly","$7.9200 hourly","$5.2110 hourly","$10.2960 hourly","$6.4800 hourly","$4.4160 hourly","$6.3120 hourly","$4.3079 hourly"
"R6GD 12xlarge","db.r6gd.12xlarge","384 GiB","2 x 1425 NVMe SSD","48 vCPUs","20 Gigabit","$7.0610 hourly","$5.4369 hourly","$7.0610 hourly","$5.4369 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$8.4960 hourly","$6.5419 hourly","$11.0450 hourly","$7.0610 hourly","unavailable","unavailable","unavailable"
"M6G 16xlarge","db.m6g.16xlarge","256 GiB","0 GiB (EBS only)","64 vCPUs","25 Gigabit","$7.2320 hourly","$4.6307 hourly","$6.8550 hourly","$4.3918 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$6.8550 hourly","$4.3918 hourly","unavailable","unavailable"
"M5D 12xlarge","db.m5d.12xlarge","192 GiB","2 x 900 NVMe SSD","48 vCPUs","12 Gbps","$7.3340 hourly","$5.6476 hourly","$7.3340 hourly","$5.6476 hourly","unavailable","unavailable","unavailable","unavailable","$15.7990 hourly","$12.4419 hourly","$28.9200 hourly","$28.0524 hourly","unavailable","unavailable","unavailable","$7.3340 hourly","unavailable","$6.8080 hourly","$4.9075 hourly"
"M7G 16xlarge","db.m7g.16xlarge","256 GiB","0 GiB (EBS only)","64 vCPUs","25 Gigabit","$7.6640 hourly","$5.9013 hourly","$7.6640 hourly","$5.9011 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$7.6640 hourly","$5.9011 hourly","unavailable","unavailable"
"R5D 12xlarge","db.r5d.12xlarge","384 GiB","2 x 900 NVMe SSD","48 vCPUs","10 Gbps","$7.9450 hourly","$6.1176 hourly","$7.9450 hourly","$6.1176 hourly","unavailable","unavailable","unavailable","unavailable","$19.1270 hourly","$18.0748 hourly","$30.9820 hourly","$30.9041 hourly","unavailable","unavailable","unavailable","$7.9450 hourly","unavailable","$7.2150 hourly","$5.1840 hourly"
"M5 16xlarge","db.m5.16xlarge","256 GiB","0 GiB (EBS only)","64 vCPUs","20 Gigabit","$8.0960 hourly","$5.1840 hourly","$7.7100 hourly","$4.9408 hourly","unavailable","unavailable","unavailable","unavailable","$22.2240 hourly","$20.0055 hourly","$38.2880 hourly","$38.1291 hourly","unavailable","unavailable","unavailable","$7.7100 hourly","$4.9408 hourly","$7.7120 hourly","$4.7776 hourly"
"M6I 16xlarge","db.m6i.16xlarge","256 GiB","0 GiB (EBS only)","64 vCPUs","25 Gbps","$8.0960 hourly","$5.1840 hourly","$7.7120 hourly","$4.9408 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$38.2880 hourly","$36.4480 hourly","unavailable","unavailable","unavailable","$7.7120 hourly","$4.9408 hourly","$7.7120 hourly","$5.5296 hourly"
"R6G 16xlarge","db.r6g.16xlarge","512 GiB","0 GiB (EBS only)","64 vCPUs","25 Gigabit","$8.2010 hourly","$5.5966 hourly","$7.7330 hourly","$5.2698 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$9.4510 hourly","$6.2149 hourly","$12.2860 hourly","$7.7330 hourly","$5.2698 hourly","unavailable","unavailable"
"M4 General Purpose 16xlarge","db.m4.16xlarge","256 GiB","0 GiB (EBS only)","64 vCPUs","20 Gigabit","$8.2400 hourly","unavailable","$7.8400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","$22.2240 hourly","unavailable","$38.2880 hourly","unavailable","unavailable","unavailable","unavailable","$7.8400 hourly","unavailable","$7.8976 hourly","unavailable"
"M6GD 16xlarge","db.m6gd.16xlarge","256 GiB","2 x 1900 NVMe SSD","64 vCPUs","25 Gigabit","$8.6330 hourly","$6.6472 hourly","$8.6330 hourly","$6.6472 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$8.6330 hourly","unavailable","unavailable","unavailable"
"R7G 16xlarge","db.r7g.16xlarge","512 GiB","0 GiB (EBS only)","64 vCPUs","30 Gigabit","$8.7040 hourly","$6.7021 hourly","$8.7040 hourly","$6.7021 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$8.7040 hourly","$6.7021 hourly","unavailable","unavailable"
"R5 16xlarge","db.r5.16xlarge","512 GiB","0 GiB (EBS only)","64 vCPUs","20 Gigabit","$9.1200 hourly","$6.5520 hourly","$8.6400 hourly","$5.8880 hourly","unavailable","unavailable","unavailable","unavailable","$22.9760 hourly","$21.7123 hourly","$40.9280 hourly","$40.8257 hourly","$10.5600 hourly","$6.9480 hourly","$13.7280 hourly","$8.6400 hourly","$5.8880 hourly","$8.4160 hourly","$5.7439 hourly"
"R6I 16xlarge","db.r6i.16xlarge","512 GiB","0 GiB (EBS only)","64 vCPUs","25 Gbps","$9.1200 hourly","$6.2240 hourly","$8.6400 hourly","$5.8880 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$40.9280 hourly","$40.8257 hourly","$10.5600 hourly","$6.9440 hourly","$13.7280 hourly","$8.6400 hourly","$5.8880 hourly","$8.4160 hourly","$6.0826 hourly"
"R4 Memory Optimized 16xlarge","db.r4.16xlarge","488 GiB","0 GiB (EBS only)","64 vCPUs","20 Gigabit","$9.1200 hourly","unavailable","$8.6400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","$22.9760 hourly","unavailable","$40.9280 hourly","unavailable","$10.5600 hourly","unavailable","unavailable","$8.6400 hourly","unavailable","$8.6400 hourly","unavailable"
"R6GD 16xlarge","db.r6gd.16xlarge","512 GiB","2 x 1900 NVMe SSD","64 vCPUs","25 Gigabit","$9.4140 hourly","$7.2492 hourly","$9.4140 hourly","$7.2492 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$11.3280 hourly","$8.7226 hourly","$14.7260 hourly","$9.4140 hourly","unavailable","unavailable","unavailable"
"M5D 16xlarge","db.m5d.16xlarge","256 GiB","4 x 600 NVMe SSD","64 vCPUs","20 Gbps","$9.7790 hourly","$7.5301 hourly","$9.7790 hourly","$7.5301 hourly","unavailable","unavailable","unavailable","unavailable","$21.0660 hourly","$16.5892 hourly","$38.5600 hourly","$37.4032 hourly","unavailable","unavailable","unavailable","$9.7790 hourly","unavailable","$9.0770 hourly","$6.5434 hourly"
"R5D 16xlarge","db.r5d.16xlarge","512 GiB","4 x 600 NVMe SSD","64 vCPUs","20 Gbps","$10.5930 hourly","$8.1568 hourly","$10.5930 hourly","$8.1568 hourly","unavailable","unavailable","unavailable","unavailable","$25.5020 hourly","$24.0998 hourly","$41.3090 hourly","$41.2055 hourly","unavailable","unavailable","unavailable","$10.5930 hourly","unavailable","$9.6190 hourly","$6.9120 hourly"
"M5 24xlarge","db.m5.24xlarge","384 GiB","0 GiB (EBS only)","96 vCPUs","25 Gigabit","$12.1440 hourly","$7.7782 hourly","$11.5680 hourly","$7.4093 hourly","unavailable","unavailable","unavailable","unavailable","$33.3360 hourly","$29.7840 hourly","$57.4320 hourly","$54.6720 hourly","unavailable","unavailable","unavailable","$11.5680 hourly","$7.4093 hourly","$11.5680 hourly","$7.2113 hourly"
"M6I 24xlarge","db.m6i.24xlarge","384 GiB","0 GiB (EBS only)","96 vCPUs","37.5 Gbps","$12.1440 hourly","$7.7760 hourly","$11.5680 hourly","$7.4112 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$57.4320 hourly","$54.6720 hourly","unavailable","unavailable","unavailable","$11.5680 hourly","$7.4112 hourly","$11.5680 hourly","$8.2944 hourly"
"R5 24xlarge","db.r5.24xlarge","768 GiB","0 GiB (EBS only)","96 vCPUs","25 Gigabit","$13.6800 hourly","$9.3366 hourly","$12.9600 hourly","$8.8320 hourly","unavailable","unavailable","unavailable","unavailable","$34.4640 hourly","$32.5685 hourly","$61.3920 hourly","$61.2385 hourly","$15.8400 hourly","$10.4220 hourly","$20.5920 hourly","$12.9600 hourly","$8.8320 hourly","$12.6240 hourly","$8.6159 hourly"
"R6I 24xlarge","db.r6i.24xlarge","768 GiB","0 GiB (EBS only)","96 vCPUs","37.5 Gbps","$13.6800 hourly","$9.3360 hourly","$12.9600 hourly","$8.8320 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$61.3920 hourly","$61.2385 hourly","$15.8400 hourly","$10.4160 hourly","$20.5920 hourly","$12.9600 hourly","$8.8320 hourly","$12.6240 hourly","$9.1238 hourly"
"M5D 24xlarge","db.m5d.24xlarge","384 GiB","4 x 900 NVMe SSD","96 vCPUs","25 Gbps","$14.6690 hourly","$11.2951 hourly","$14.6690 hourly","$11.2951 hourly","unavailable","unavailable","unavailable","unavailable","$31.5980 hourly","$24.8837 hourly","$57.8400 hourly","$56.1048 hourly","unavailable","unavailable","unavailable","$14.6690 hourly","unavailable","$13.6160 hourly","$9.8150 hourly"
"R5D 24xlarge","db.r5d.24xlarge","768 GiB","4 x 900 NVMe SSD","96 vCPUs","25 Gbps","$15.8900 hourly","$12.2352 hourly","$15.8900 hourly","$12.2352 hourly","unavailable","unavailable","unavailable","unavailable","$38.2540 hourly","$36.1497 hourly","$61.9630 hourly","$61.8083 hourly","unavailable","unavailable","unavailable","$15.8900 hourly","unavailable","$14.4290 hourly","$10.3680 hourly"
"M6I 32xlarge","db.m6i.32xlarge","512 GiB","0 GiB (EBS only)","128 vCPUs","50 Gbps","$16.1920 hourly","$10.3680 hourly","$15.4240 hourly","$9.8816 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$76.5760 hourly","$72.8960 hourly","unavailable","unavailable","unavailable","$15.4240 hourly","$9.8816 hourly","$15.4240 hourly","$11.0592 hourly"
"R6I 32xlarge","db.r6i.32xlarge","1024 GiB","0 GiB (EBS only)","128 vCPUs","50 Gbps","$18.2400 hourly","$12.4480 hourly","$17.2800 hourly","$11.7760 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$81.8560 hourly","$81.6513 hourly","$21.1200 hourly","$13.8880 hourly","$27.4560 hourly","$17.2800 hourly","$11.7760 hourly","$16.8320 hourly","$12.1651 hourly"
"T1 Micro","db.t1.micro","0.613 GiB","0 GiB (EBS only)","1 vCPUs","Very Low","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Small","db.m1.small","1.7 GiB","1 x 160","1 vCPUs","Low","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Medium","db.m3.medium","3.75 GiB","1 x 4 SSD","1 vCPUs","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Medium","db.m1.medium","3.75 GiB","1 x 410","1 vCPUs","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Large","db.m3.large","7.5 GiB","1 x 32 SSD","2 vCPUs","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID Large","db.m6id.large","8 GiB","1 x 118 NVMe SSD","2 vCPUs","Up to 12.5 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Large","db.m1.large","7.5 GiB","2 x 420","2 vCPUs","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN Large","db.m6in.large","8 GiB","0 GiB (EBS only)","2 vCPUs","Up to 25 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN Large","db.m6idn.large","8 GiB","1 x 118 NVMe SSD","2 vCPUs","Up to 25 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B Large","db.r5b.large","16 GiB","0 GiB (EBS only)","2 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID Large","db.r6id.large","16 GiB","1 x 118 NVMe SSD","2 vCPUs","Up to 12.5 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2G Large","db.x2g.large","32 GiB","0 GiB (EBS only)","2 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Extra Large","db.m2.xlarge","17.1 GiB","1 x 420","2 vCPUs","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN Large","db.r6in.large","16 GiB","0 GiB (EBS only)","2 vCPUs","Up to 25 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN Large","db.r6idn.large","16 GiB","1 x 118 NVMe SSD","2 vCPUs","Up to 25 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Extra Large","db.m3.xlarge","15 GiB","2 x 40 SSD","4 vCPUs","High","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID Extra Large","db.m6id.xlarge","16 GiB","1 x 237 NVMe SSD","4 vCPUs","Up to 12.5 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Extra Large","db.m1.xlarge","15 GiB","4 x 420","4 vCPUs","High","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN Extra Large","db.m6in.xlarge","16 GiB","0 GiB (EBS only)","4 vCPUs","Up to 30 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN Extra Large","db.m6idn.xlarge","16 GiB","1 x 237 NVMe SSD","4 vCPUs","Up to 30 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B Extra Large","db.r5b.xlarge","32 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID Extra Large","db.r6id.xlarge","32 GiB","1 x 237 NVMe SSD","4 vCPUs","Up to 12.5 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2G Extra Large","db.x2g.xlarge","64 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Double Extra Large","db.m2.2xlarge","34.2 GiB","1 x 850","4 vCPUs","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN Extra Large","db.r6in.xlarge","32 GiB","0 GiB (EBS only)","4 vCPUs","Up to 30 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Double Extra Large","db.m3.2xlarge","30 GiB","2 x 80 SSD","8 vCPUs","High","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
