"Name","API Name","Memory","Storage","vCPUs","Network Performance","PostgreSQL","PostgreSQL Reserved Cost","MySQL On Demand Cost","MySQL Reserved Cost","SQL Server Express On Demand Cost","SQL Server Express Reserved Cost","SQL Server Web On Demand Cost","SQL Server Web Reserved Cost","SQL Server Standard On Demand Cost","SQL Server Standard Reserved Cost","SQL Server Enterprise On Demand Cost","SQL Server Enterprise Reserved Cost","Aurora Postgres & MySQL On Demand Cost","Aurora Postgres & MySQL Reserved Cost","Aurora I/O Optimized On Demand Cost","MariaDB On Demand Cost","MariaDB Reserved Cost","Oracle Enterprise On Demand Cost","Oracle Enterprise Reserved Cost"
"M6I Extra Large","db.m6i.xlarge","16 GiB","0 GiB (EBS only)","4 vCPUs","Up to 12.5 Gbps","$0.5060 hourly","$0.3240 hourly","$0.4820 hourly","$0.3088 hourly","unavailable","unavailable","$0.7360 hourly","$0.5930 hourly","$1.3890 hourly","$1.2410 hourly","$2.3930 hourly","$2.2780 hourly","unavailable","unavailable","unavailable","$0.4820 hourly","$0.3088 hourly","$0.4820 hourly","$0.3456 hourly"
"R6G Extra Large","db.r6g.xlarge","32 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","$0.5130 hourly","$0.3498 hourly","$0.4830 hourly","$0.3294 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.5910 hourly","$0.3884 hourly","$0.7680 hourly","$0.4830 hourly","$0.3294 hourly","unavailable","unavailable"
"M4 General Purpose Extra Large","db.m4.xlarge","16 GiB","0 GiB (EBS only)","4 vCPUs","High","$0.5140 hourly","unavailable","$0.4920 hourly","unavailable","unavailable","unavailable","$0.7360 hourly","unavailable","$1.3890 hourly","unavailable","$2.3930 hourly","unavailable","unavailable","unavailable","unavailable","$0.4920 hourly","unavailable","$0.4920 hourly","unavailable"
"M6GD Extra Large","db.m6gd.xlarge","16 GiB","1 x 237 NVMe SSD","4 vCPUs","Up to 10 Gigabit","$0.5400 hourly","$0.4154 hourly","$0.5400 hourly","$0.4154 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.5400 hourly","unavailable","unavailable","unavailable"
"R7G Extra Large","db.r7g.xlarge","32 GiB","0 GiB (EBS only)","4 vCPUs","Up to 12.5 Gigabit","$0.5440 hourly","$0.4189 hourly","$0.5440 hourly","$0.4189 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.5440 hourly","$0.4189 hourly","unavailable","unavailable"
"R3 Memory Optimized Extra Large","db.r3.xlarge","30.5 GiB","1 x 80 SSD","4 vCPUs","Moderate","$0.5690 hourly","unavailable","$0.5410 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.5410 hourly","unavailable","$0.5410 hourly","unavailable"
"R5 Extra Large","db.r5.xlarge","32 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","$0.5700 hourly","$0.3890 hourly","$0.5400 hourly","$0.3680 hourly","unavailable","unavailable","$0.8010 hourly","$0.6728 hourly","$1.4360 hourly","$1.3570 hourly","$2.5580 hourly","$2.5516 hourly","$0.6600 hourly","$0.4340 hourly","$0.8580 hourly","$0.5400 hourly","$0.3680 hourly","$0.5260 hourly","$0.3590 hourly"
"R4 Memory Optimized Extra Large","db.r4.xlarge","30.5 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","$0.5700 hourly","unavailable","$0.5400 hourly","unavailable","unavailable","unavailable","$0.8010 hourly","unavailable","$1.4360 hourly","unavailable","$2.5580 hourly","unavailable","$0.6600 hourly","unavailable","unavailable","$0.5400 hourly","unavailable","$0.5400 hourly","unavailable"
"R6I Extra Large","db.r6i.xlarge","32 GiB","0 GiB (EBS only)","4 vCPUs","Up to 12.5 Gbps","$0.5700 hourly","$0.3890 hourly","$0.5400 hourly","$0.3680 hourly","unavailable","unavailable","$0.8010 hourly","$0.6728 hourly","$1.4360 hourly","$1.3570 hourly","$2.5580 hourly","$2.5516 hourly","$0.6600 hourly","$0.4340 hourly","$0.8580 hourly","$0.5400 hourly","$0.3680 hourly","$0.5260 hourly","$0.3802 hourly"
"R6GD Extra Large","db.r6gd.xlarge","32 GiB","1 x 237 NVMe SSD","4 vCPUs","Up to 10 Gigabit","$0.5880 hourly","$0.4531 hourly","$0.5880 hourly","$0.4531 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.7080 hourly","$0.5452 hourly","$0.9200 hourly","$0.5880 hourly","unavailable","unavailable","unavailable"
